REV_RANGE ENTRY/SAFE EXIT/SAFE
1950-1960 41246/51742 49786/63586
1961-1971 39020/48949 55176/70469
1972-1982 38348/48107 59772/76339
1983-1993 39416/49446 62217/79461
1994-2004 41930/52600 61787/78912
2005-2015 45200/56702 58609/74854
2016-2026 48330/60629 53624/68487
2027-2037 50461/63302 48304/61693
2038-2048 51009/63989 44223/56481
2049-2059 49823/62501 42587/54391
2060-2070 47228/59247 43880/56042
2071-2081 43937/55118 47719/60945
