REV_RANGE ENTRY/SAFE EXIT/SAFE
1871-1881 42242/53433 60213/77857
1882-1892 45294/57294 57493/74341
1893-1903 48013/60733 53164/68743
1904-1914 49609/62751 48651/62907
1915-1925 49619/62764 45441/58757
1926-1936 48040/60766 44592/57659
1937-1947 45330/57339 46383/59975
1948-1958 42277/53477 50224/64942
1959-1969 39767/50302 54851/70924
1970-1980 38528/48735 58737/75949
1981-1991 38921/49232 60605/78364
1992-2002 40831/51648 59837/77371
