REV_RANGE ENTRY/SAFE EXIT/SAFE
1952-1962 43084/55140 47690/62019
1963-1973 40284/51556 52695/68529
1974-1984 38540/49325 57610/74920
1985-1995 38324/49048 60971/79292
1996-2006 39693/50799 61780/80344
2007-2017 42277/54108 59796/77763
2018-2028 45381/58080 55609/72318
2029-2039 48166/61644 50464/65627
2040-2050 49881/63839 45891/59680
2051-2061 50063/64072 43251/56247
2062-2072 48664/62281 43328/56348
2073-2083 46060/58949 46100/59953
