REV_RANGE ENTRY/SAFE EXIT/SAFE
1941-1951 51551/68724 45644/58395
1952-1962 50097/66785 49775/63679
1963-1973 47756/63665 54846/70168
1974-1984 44983/59967 59280/75841
1985-1995 42314/56410 61697/78933
1996-2006 40267/53682 61344/78481
2007-2017 39240/52312 58331/74626
2018-2028 39430/52565 53596/68569
2029-2039 40801/54393 48613/62193
2040-2050 43088/57441 44933/57485
2051-2061 45846/61119 43701/55910
2062-2072 48542/64713 45302/57957
