REV_RANGE ENTRY/SAFE EXIT/SAFE
2029-2039 50053/63629 45225/59526
2040-2050 50655/64395 43148/56792
2051-2061 49687/63164 42797/56329
2062-2072 47406/60264 44277/58277
2073-2083 44424/56474 47144/62051
2084-2094 41540/52808 50537/66517
2095-2105 39527/50248 53437/70334
2106-2116 38923/49480 54973/72356
2117-2127 39890/50711 54684/71975
2128-2138 42170/53609 52656/69306
2139-2149 45152/57399 49499/65151
2150-2160 48036/61065 46161/60757
