REV_RANGE ENTRY/SAFE EXIT/SAFE
1940-1950 42202/53159 49113/62183
1951-1961 40765/51349 54731/69297
1962-1972 39829/50170 60155/76164
1973-1983 39663/49961 63682/80629
1984-1994 40316/50783 64204/81290
1995-2005 41599/52399 61557/77939
2006-2016 43142/54344 56573/71628
2017-2027 44503/56057 50816/64339
2028-2038 45288/57046 46094/58361
2039-2049 45272/57026 43889/55569
2050-2060 44459/56002 44894/56842
2061-2071 43084/54270 48793/61778
