REV_RANGE ENTRY/SAFE EXIT/SAFE
2076-2086 40555/51283 43023/57288
2087-2097 38933/49232 47658/63461
2098-2108 39035/49361 52094/69368
2109-2119 40829/51630 55063/73321
2120-2130 43756/55331 55715/74189
2131-2141 46903/59311 53864/71724
2142-2152 49290/62328 50039/66631
2153-2163 50171/63443 45334/60366
2164-2174 49273/62308 41094/54721
2175-2185 46876/59276 38532/51309
2186-2196 43726/55293 38379/51105
2197-2207 40806/51600 40680/54169
