REV_RANGE ENTRY/SAFE EXIT/SAFE
2046-2056 49635/63265 41585/54464
2057-2067 47845/60983 42271/55363
2068-2078 45166/57569 44777/58646
2079-2089 42326/53949 48365/63345
2090-2100 40096/51106 51978/68077
2101-2111 39081/49813 54552/71448
2112-2122 39558/50421 55329/72465
2123-2133 41397/52765 54079/70829
2134-2144 44098/56208 51172/67021
2145-2155 46928/59815 47462/62163
2156-2166 49118/62606 44044/57686
2167-2177 50073/63823 41924/54908
