REV_RANGE ENTRY/SAFE EXIT/SAFE
1917-1927 50106/63996 45783/59202
1928-1938 49863/63685 43915/56787
1939-1949 48231/61601 44587/57656
1950-1960 45621/58268 47602/61554
1961-1971 42690/54524 52077/67340
1972-1982 40174/51310 56699/73318
1983-1993 38706/49436 60116/77735
1994-2004 38656/49372 61325/79299
2005-2015 40036/51134 59972/77550
2016-2026 42498/54279 56454/73001
2027-2037 45425/58017 51802/66985
2038-2048 48079/61406 47378/61265
