REV_RANGE ENTRY/SAFE EXIT/SAFE
1889-1899 45814/56727 59744/76794
1900-1910 48284/59785 56098/72107
1911-1921 49581/61392 51639/66375
1922-1932 49350/61105 47553/61124
1933-1943 47653/59004 44929/57751
1944-1954 44957/55666 44465/57154
1955-1965 42004/52009 46284/59493
1966-1976 39604/49038 49903/64144
1977-1987 38419/47570 54357/69870
1988-1998 38773/48008 58462/75146
1999-2009 40569/50233 61123/78567
2010-2020 43314/53631 61634/79223
