REV_RANGE ENTRY/SAFE EXIT/SAFE
2061-2071 45444/56647 40428/52814
2072-2082 42492/52968 43359/56642
2083-2093 40101/49987 47509/62064
2094-2104 38968/48574 51707/67548
2105-2115 39424/49143 54770/71549
2116-2126 41337/51527 55834/72939
2127-2137 44147/55030 54598/71324
2138-2148 47035/58629 51411/67161
2149-2159 49157/61275 47172/61624
2160-2170 49894/62194 43077/56274
2171-2181 49031/61118 40281/52621
2182-2192 46820/58362 39571/51694
