REV_RANGE ENTRY/SAFE EXIT/SAFE
1981-1991 39319/50122 58945/80258
1992-2002 41633/53072 60129/81870
2003-2013 44819/57133 58481/79627
2014-2024 47994/61180 54520/74234
2025-2035 50280/64094 49492/67387
2036-2046 51044/65068 44977/61239
2047-2057 50074/63832 42396/57725
2058-2068 47639/60728 42561/57950
2069-2079 44413/56616 45419/61842
2080-2090 41289/52634 50072/68177
2091-2101 39132/49884 55057/74964
2102-2112 38538/49127 58805/80067
