REV_RANGE ENTRY/SAFE EXIT/SAFE
1881-1891 40285/49676 61035/77720
1892-1902 43178/53242 58672/74712
1903-1913 46273/57059 54782/69757
1914-1924 48822/60202 50401/64179
1925-1935 50208/61911 46700/59466
1936-1946 50096/61773 44664/56874
1947-1957 48513/59821 44838/57096
1958-1968 45841/56527 47175/60071
1969-1979 42728/52688 51051/65007
1980-1990 39927/49234 55433/70587
1991-2001 38115/46999 59151/75321
2002-2012 37731/46526 61214/77948
