REV_RANGE ENTRY/SAFE EXIT/SAFE
1963-1973 38852/48800 53156/69871
1974-1984 38474/48325 58085/76350
1985-1995 39815/50009 61240/80497
1996-2006 42506/53389 61722/81131
2007-2017 45809/57538 59395/78071
2018-2028 48816/61315 54920/72190
2029-2039 50700/63681 49573/65161
2040-2050 50944/63988 44875/58986
2051-2061 49481/62150 42165/55424
2062-2072 46712/58673 42215/55489
2073-2083 43400/54512 45010/59163
2084-2094 40452/50810 49754/65399
