REV_RANGE ENTRY/SAFE EXIT/SAFE
1898-1908 48105/59362 55757/70553
1909-1919 49532/61122 51269/64874
1920-1930 49408/60970 47220/59751
1931-1941 47770/58948 44716/56582
1942-1952 45078/55627 44439/56232
1953-1963 42094/51944 46465/58796
1964-1974 39659/48940 50242/63575
1975-1985 38461/47462 54738/69264
1986-1996 38839/47927 58726/74310
1997-2007 40685/50205 61118/77336
2008-2018 43478/53653 61260/77516
2019-2029 46430/57296 59114/74801
