REV_RANGE ENTRY/SAFE EXIT/SAFE
2041-2051 58664/81145 36950/50455
2052-2062 58284/80619 36759/50194
2063-2073 54724/75695 40308/55040
2074-2084 48856/67578 46518/63521
2085-2095 42115/58254 53502/73057
2096-2106 36152/50006 59136/80750
2107-2117 32425/44850 61708/84261
2118-2128 31846/44049 60434/82523
2129-2139 34557/47799 55704/76063
2140-2150 39894/55182 48954/66846
2151-2161 46552/64391 42237/57674
2162-2172 52902/73174 37595/51336
