REV_RANGE ENTRY/SAFE EXIT/SAFE
1975-1985 38729/49428 57020/74510
1986-1996 40267/51390 60210/78678
1997-2007 43059/54953 60782/79426
2008-2018 46334/59132 58568/76533
2019-2029 49184/62770 54223/70855
2030-2040 50822/64861 49033/64073
2041-2051 50794/64825 44535/58195
2052-2062 49109/62674 42061/54962
2063-2073 46231/59002 42342/55329
2074-2084 42958/54825 45296/59189
2085-2095 40195/51299 50048/65399
2096-2106 38707/49399 55192/72120
