Rev	Rev. Start	Perigee	Perig.IJD	Exit.IJD	Entrance.IJD	Exit	Entrance
1784	2017-02-18	05:35:08	6258.2327	6258.3455	6260.7775	40664	40809
1783	2017-02-15	13:47:01	6255.5743	6255.7203	6258.0316	48491	60226
1782	2017-02-12	21:57:50	6252.9152	6253.0827	6255.4068	53282	53299
1781	2017-02-10	06:09:21	6250.2565	6250.3825	6252.7885	43885	44023
1780	2017-02-07	14:19:54	6247.5972	6247.7993	6250.1050	60618	49775
1779	2017-02-04	22:29:27	6244.9371	6245.1529	6247.3574	63200	67711
1778	2017-02-02	06:40:30	6242.2781	6242.4477	6244.8217	53758	41328
1777	2017-01-30	14:51:39	6239.6192	6239.7979	6242.0554	55664	64487
1776	2017-01-27	23:03:30	6236.9608	6237.3264	6239.4339	88149	57065
1775	2017-01-25	07:14:52	6234.3020	6234.4245	6236.8400	42997	42542
1774	2017-01-22	15:25:35	6231.6428	6231.8292	6234.0964	57250	61188
1773	2017-01-19	23:37:02	6228.9841	6229.2198	6231.4791	66897	52528
1772	2017-01-17	07:48:40	6226.3255	6226.4530	6228.8757	44268	39581
1771	2017-01-14	15:59:53	6223.6666	6223.8438	6226.1812	55461	48051
1770	2017-01-12	00:09:42	6221.0067	6221.2113	6223.5212	61024	48331
1769	2017-01-09	08:19:06	6218.3466	6218.6605	6220.8963	80381	40063
1768	2017-01-06	16:29:22	6215.6871	6215.9918	6218.1630	78864	56778
1767	2017-01-04	00:40:13	6213.0279	6213.2356	6215.5025	61514	56934
1766	2017-01-01	08:52:02	6210.3695	6210.6223	6212.9131	70058	41168
1765	2016-12-29	17:03:04	6207.7105	6207.8833	6210.2367	54424	45414
1764	2016-12-27	01:13:39	6205.0511	6205.3237	6207.5708	73486	47053
1763	2016-12-24	09:24:28	6202.3920	6202.6948	6204.9444	78467	39113
1762	2016-12-21	17:35:30	6199.7330	6199.9783	6202.2201	68617	54246
1761	2016-12-19	01:46:13	6197.0738	6197.2654	6199.6271	58266	38897
1760	2016-12-16	09:56:19	6194.4141	6194.5718	6196.9790	51086	36102
1759	2016-12-13	18:06:04	6191.7542	6192.0193	6194.2600	72189	50375
1758	2016-12-11	02:15:39	6189.0942	6189.3532	6191.6129	71062	47432
1757	2016-12-08	10:27:45	6186.4359	6186.6217	6188.9914	57095	38096
1756	2016-12-05	18:38:02	6183.7764	6183.9825	6186.2852	61147	49446
1755	2016-12-03	02:49:12	6181.1175	6181.3207	6183.6546	60614	42709
1754	2016-11-30	10:59:11	6178.4578	6178.7014	6181.0165	68193	37513
1753	2016-11-27	19:10:40	6175.7991	6176.0731	6178.3126	73603	48262
1752	2016-11-25	03:21:06	6173.1397	6173.4099	6175.6667	72913	45160
1751	2016-11-22	11:32:09	6170.4807	6170.6194	6173.0362	46786	38163
1750	2016-11-19	19:41:35	6167.8205	6168.0120	6170.3584	58141	42716
1749	2016-11-17	03:51:06	6165.1605	6165.4004	6167.6946	67538	43721
1748	2016-11-14	12:00:42	6162.5005	6162.7588	6165.0556	70822	38556
1747	2016-11-11	20:11:07	6159.8411	6160.0330	6162.3771	58167	43019
1746	2016-11-09	04:21:47	6157.1818	6157.3589	6159.7372	55043	38201
1745	2016-11-06	12:32:49	6154.5228	6154.6684	6157.0832	48171	36924
1744	2016-11-03	20:43:49	6151.8638	6152.0727	6154.4098	61554	40508
1743	2016-11-01	04:54:13	6149.2043	6149.4352	6151.7602	65702	38104
1742	2016-10-29	13:05:04	6146.5452	6146.7568	6149.1003	62050	38221
1741	2016-10-26	21:15:08	6143.8855	6144.1268	6146.4272	67583	41612
1740	2016-10-24	05:25:05	6141.2258	6141.4235	6143.7728	59264	40418
1739	2016-10-21	13:34:44	6138.5658	6138.8219	6141.1429	70294	32855
1738	2016-10-18	21:43:52	6135.9055	6136.1779	6138.4257	73086	46898
1737	2016-10-16	05:54:21	6133.2461	6133.4760	6135.7790	65471	43716
1736	2016-10-13	14:04:37	6130.5865	6130.7005	6133.1521	40562	35622
1735	2016-10-10	22:14:14	6127.9266	6128.1095	6130.4895	56191	36516
1734	2016-10-08	06:26:26	6125.2684	6125.4971	6127.8047	65158	42514
1733	2016-10-05	14:37:31	6122.6094	6122.7855	6125.1813	54760	33953
1732	2016-10-02	22:48:03	6119.9500	6120.1982	6122.4876	68759	42498
1731	2016-09-30	06:58:21	6117.2905	6117.5398	6119.8293	68958	42254
1730	2016-09-27	15:08:19	6114.6308	6114.7964	6117.1871	52478	38008
1729	2016-09-24	23:18:28	6111.9712	6112.1647	6114.5165	58402	40769
1728	2016-09-22	07:27:41	6109.3109	6109.5042	6111.8666	58330	38325
1727	2016-09-19	15:37:06	6106.6508	6106.7685	6109.2162	41524	35833
1726	2016-09-16	19:13:40	6103.8012	nan	6106.5559	nan	35927
1725	2016-09-14	07:59:22	6101.3329	6101.4819	nan	48853	nan
1724	2016-09-11	16:10:20	6098.6739	6098.8165	6101.2477	47482	33360
1723	2016-09-09	00:20:07	6096.0140	6096.2042	6098.5581	57598	41022
1722	2016-09-06	08:31:28	6093.3552	6093.5770	6095.9057	63897	39328
1721	2016-09-03	16:41:38	6090.6956	6090.8703	6093.2657	54390	34463
1720	2016-09-01	00:53:08	6088.0369	6088.2070	6090.5501	53555	48105
1719	2016-08-29	09:02:48	6085.3770	6085.5491	6087.9353	53972	37549
1718	2016-08-26	17:11:48	6082.7165	6082.8548	6085.2807	46531	36270
1717	2016-08-24	01:21:33	6080.0566	6080.2091	6082.5952	49733	42402
1716	2016-08-21	09:31:01	6077.3965	6077.5544	6079.9647	50809	35074
1715	2016-08-18	17:42:37	6074.7379	6074.8698	6077.3019	44899	35843
1714	2016-08-16	01:53:37	6072.0789	6072.2668	6074.6257	57187	40282
1713	2016-08-13	10:04:27	6069.4198	6069.6191	6071.9515	59485	43945
1712	2016-08-10	18:15:51	6066.7610	6066.9280	6069.3236	52881	36301
1711	2016-08-08	02:25:31	6064.1011	6064.2807	6066.6406	55446	42173
1710	2016-08-05	15:14:07	6061.6348	nan	6063.9807	nan	42280
1709	2016-08-02	18:46:14	6058.7821	6058.9102	nan	44040	nan
1708	2016-07-31	02:56:04	6056.1223	6056.3082	6058.6712	56902	40009
1707	2016-07-28	11:05:20	6053.4620	6053.6145	6055.9943	49630	44077
1706	2016-07-25	19:16:02	6050.8028	6050.9360	6053.3797	45241	32742
1705	2016-07-23	03:27:24	6048.1440	6048.3032	6050.6902	51126	40358
1704	2016-07-20	11:38:48	6045.4853	6045.6252	6048.0250	46803	41902
1703	2016-07-17	19:49:21	6042.8259	6042.9585	6045.3934	45047	35168
1702	2016-07-15	04:00:29	6040.1670	6040.3348	6042.7058	52973	42246
1701	2016-07-12	12:11:17	6037.5078	6037.6761	6040.0418	53048	43405
1700	2016-07-09	20:21:44	6034.8484	6034.9721	6037.4004	42960	39099
1699	2016-07-07	04:32:01	6032.1889	6032.3212	6034.7224	44987	43634
1698	2016-07-04	12:42:03	6029.5292	6029.6859	6032.0692	50617	42163
1697	2016-07-01	20:52:05	6026.8695	6026.9958	6029.4332	43716	36231
1696	2016-06-29	05:02:45	6024.2102	6024.3760	6026.7430	52514	43636
1695	2016-06-26	13:13:11	6021.5508	6021.7165	6024.0622	52460	48703
1694	2016-06-23	21:24:46	6018.8922	6019.0145	6021.4532	42616	36651
1693	2016-06-21	05:36:36	6016.2338	6016.4006	6018.7694	52843	42820
1692	2016-06-18	13:47:31	6013.5747	6013.7267	6016.0937	49550	46730
1691	2016-06-15	21:58:38	6010.9157	6011.0413	6013.4765	43452	36663
1690	2016-06-13	06:09:49	6008.2568	6008.3987	6010.7890	47274	43638
1689	2016-06-10	14:19:46	6005.5971	6005.7432	6008.1217	48158	45589
1688	2016-06-07	22:30:29	6002.9378	6003.0495	6005.4950	40144	37739
1687	2016-06-05	06:40:16	6000.2780	6000.4052	6002.7957	43894	47236
1686	2016-06-02	14:49:58	5997.6180	5997.7839	6000.1333	52441	47775
1685	2016-05-30	23:01:17	5994.9592	5995.0829	5997.5105	42839	39068
1684	2016-05-28	07:12:37	5992.3004	5992.4445	5994.8100	47583	48858
1683	2016-05-25	15:24:26	5989.6420	5989.7992	5992.1683	50520	44971
1682	2016-05-22	23:36:28	5986.9837	5987.1114	5989.5271	43927	40852
1681	2016-05-20	07:47:04	5984.3244	5984.4708	5986.8249	48136	50814
1680	2016-05-17	15:58:44	5981.6658	5981.8185	5984.1840	49578	46774
1679	2016-05-15	00:09:22	5979.0065	5979.1058	5981.5457	36918	41983
1678	2016-05-12	08:19:38	5976.3470	5976.5317	5978.8492	56448	50573
1677	2016-05-09	16:29:23	5973.6871	5973.8581	5976.1579	53489	57254
1676	2016-05-07	00:38:08	5971.0265	5971.1404	5973.5583	40485	44136
1675	2016-05-04	08:51:27	5968.3691	5968.5397	5970.8918	53331	45446
1674	2016-05-01	17:04:06	5965.7112	5965.8807	5968.2070	53182	51579
1673	2016-04-29	01:15:12	5963.0522	5963.1816	5965.6100	44173	37324
1672	nan	nan	nan	nan	nan	nan	nan
1671	nan	nan	nan	nan	nan	nan	nan
1670	2016-04-21	01:49:53	5955.0763	5955.1921	5957.6331	40905	37555
1669	2016-04-18	10:00:43	5952.4172	5952.5621	5954.9426	47656	45182
1668	2016-04-15	18:12:24	5949.7586	5949.9029	5952.2550	47673	51606
1667	2016-04-13	02:22:32	5947.0990	5947.1943	5949.6166	35962	47042
1666	2016-04-10	10:32:29	5944.4392	5944.5851	5946.9371	47925	51460
1665	2016-04-07	18:45:30	5941.7816	5941.9349	5944.3049	49654	45349
1664	2016-04-05	03:52:14	5939.1613	5939.2727	5941.6354	48895	47922
1663	2016-04-02	11:08:40	5936.4644	5936.5961	5938.9288	44734	58062
1662	2016-03-30	19:20:17	5933.8058	5933.9599	5936.3084	49793	50127
1661	2016-03-28	03:31:37	5931.1470	5931.2708	5933.7014	42783	38114
1660	2016-03-25	11:44:11	5928.4890	5928.6595	5931.0103	53382	45880
1659	2016-03-22	19:54:25	5925.8295	5925.9921	5928.3473	51584	46918
1658	2016-03-19	23:31:48	5922.9804	nan	5925.7294	nan	37140
1657	2016-03-17	12:17:03	5920.5118	5920.6702	nan	50799	nan
1656	2016-03-14	20:26:19	5917.8516	5917.9948	5920.5336	47406	17821
1655	2016-03-12	04:36:39	5915.1921	5915.3254	5917.7219	45006	44217
1654	2016-03-09	12:50:02	5912.5348	5912.6957	5915.0246	51259	52761
1653	2016-03-06	21:01:17	5909.8759	5910.0181	5912.5542	47064	17457
1652	2016-03-04	05:13:19	5907.2176	5907.3414	5909.7631	42864	40290
1651	2016-03-01	09:48:49	5904.4089	nan	5907.0825	nan	45538
1650	2016-02-27	21:36:50	5901.9006	5902.0537	nan	49517	nan
1649	2016-02-25	05:48:11	5899.2418	5899.3700	5901.7980	43870	37806
1648	2016-02-22	13:59:57	5896.5833	5896.7615	5899.0898	55083	49418
1647	2016-02-19	22:10:04	5893.9237	5894.1158	5896.3627	57926	63459
1646	2016-02-17	13:02:25	5891.5433	nan	5893.7798	nan	47604
1645	2016-02-14	14:31:11	5888.6050	5888.8022	nan	58915	nan
1644	2016-02-11	22:42:53	5885.9464	5886.1033	5888.4796	50429	43290
1643	2016-02-09	06:55:14	5883.2884	5883.4171	5885.8573	44103	34394
1642	2016-02-06	15:06:45	5880.6297	5881.0407	5883.1242	93603	52023
1641	2016-02-03	23:18:13	5877.9710	5878.1215	5880.4780	49030	49365
1640	2016-02-01	07:30:25	5875.3128	5875.4164	5877.8735	38056	36520
1639	2016-01-29	15:42:10	5872.6543	5872.7983	5875.1983	47614	40650
1638	2016-01-26	23:52:30	5869.9948	5870.2113	5872.5336	62771	42204
1637	2016-01-24	08:02:10	5867.3348	5867.5005	5869.8820	52372	40262
1636	2016-01-21	16:12:50	5864.6756	5864.9941	5867.1379	80462	59009
1635	2016-01-18	22:44:17	5861.9474	5862.1467	5864.5492	58234	43538
1634	2016-01-16	08:34:45	5859.3575	5859.5384	5861.8409	55657	38134
1633	2016-01-13	16:46:43	5856.6991	5857.0147	5859.2122	79951	47822
1632	2016-01-11	00:57:49	5854.0402	5854.2921	5856.5606	69269	46271
1631	2016-01-08	09:09:50	5851.3818	5851.6644	5853.9295	74607	39776
1630	2016-01-05	17:20:32	5848.7226	5848.9623	5851.2188	66982	51746
1629	2016-01-03	01:32:03	5846.0639	5846.3064	5848.5711	67489	49327
1628	2015-12-31	09:42:55	5843.4048	5843.5580	5845.9505	49607	40484
1627	2015-12-28	17:54:05	5840.7459	5840.9930	5843.2680	68470	46013
1626	2015-12-26	02:04:10	5838.0862	5838.2988	5840.5884	62027	50567
1625	2015-12-23	10:14:17	5835.4266	5835.6542	5837.9895	64803	36244
1624	2015-12-20	18:22:29	5832.7656	5832.9419	5835.2916	54503	45531
1623	2015-12-18	02:37:24	5830.1093	5830.3375	5832.6664	64818	36920
1622	2015-12-15	10:49:35	5827.4511	5827.7155	5830.0131	71350	36163
1621	2015-12-12	19:01:52	5824.7930	5825.0760	5827.3363	74558	40761
1620	2015-12-10	03:13:29	5822.1344	5822.3481	5824.6548	62085	46193
1619	2015-12-07	11:25:12	5819.4758	5819.7101	5822.0385	65952	36018
1618	2015-12-04	19:35:45	5816.8165	5817.0817	5819.3467	71443	44068
1617	2015-12-02	03:47:31	5814.1580	5814.3793	5816.6940	63588	42602
1616	2015-11-29	11:56:52	5811.4978	5811.6329	5814.0675	45537	34645
1615	2015-11-26	20:06:26	5808.8378	5808.9997	5811.3962	51425	37444
1614	2015-11-24	04:14:21	5806.1766	5806.3411	5808.7296	52016	39148
1613	2015-11-21	12:29:40	5803.5206	5803.6657	5806.0773	47758	36791
1612	2015-11-18	20:41:28	5800.8621	5801.0617	5803.3937	59299	43491
1611	2015-11-16	04:52:42	5798.2033	5798.4472	5800.7505	67688	39815
1610	2015-11-13	13:03:19	5795.5440	5795.7417	5798.1160	58838	33784
1609	2015-11-10	21:14:23	5792.8850	5793.1613	5795.4219	73252	42410
1608	2015-11-08	05:25:29	5790.2260	5790.4745	5792.7200	68470	52089
1607	2015-11-05	13:34:40	5787.5657	5787.8010	5790.1226	66106	37862
1606	2015-11-02	21:44:22	5784.9058	5785.0673	5787.4357	51358	44240
1605	2015-10-31	05:53:38	5782.2456	5782.4106	5784.7908	52051	40743
1604	2015-10-28	14:03:56	5779.5861	5779.7323	5782.1558	47960	34542
1603	2015-10-25	22:15:23	5776.9274	5777.0999	5779.4594	53678	43467
1602	2015-10-23	06:26:17	5774.2683	5774.4636	5776.8160	58329	39787
1601	2015-10-20	14:37:14	5771.6092	5771.8002	5774.1741	57479	35635
1600	2015-10-17	22:48:36	5768.9504	5769.1500	5771.4833	59241	43343
1599	2015-10-15	06:59:28	5766.2913	5766.5168	5768.8297	64220	42033
1598	2015-10-12	15:10:23	5763.6322	5763.8341	5766.1927	59749	36687
1597	2015-10-09	23:20:11	5760.9724	5761.2566	5763.5039	74667	43814
1596	2015-10-07	07:30:10	5758.3126	5758.4767	5760.8255	52006	48173
1595	2015-10-04	15:39:20	5755.6523	5755.7853	5758.2158	45022	36219
1594	2015-10-01	23:49:15	5752.9925	5753.1647	5755.5401	53712	40065
1593	2015-09-29	08:00:13	5750.3335	5750.4975	5752.9027	51843	34427
1592	2015-09-26	16:11:27	5747.6746	5747.8406	5750.2472	52323	33683
1591	2015-09-24	00:22:45	5745.0158	5745.2454	5747.5542	65081	42067
1590	2015-09-21	08:34:17	5742.3572	5742.5405	5744.9005	56016	40835
1589	2015-09-18	16:45:53	5739.6985	5739.8907	5742.2685	57872	34212
1588	2015-09-16	00:55:58	5737.0389	5737.2533	5739.5941	62164	38088
1587	2015-09-13	09:07:05	5734.3799	5734.5948	5736.9152	62367	42914
1586	2015-09-10	17:17:02	5731.7202	5731.8662	5734.2867	48079	35386
1585	2015-09-08	01:26:22	5729.0600	5729.2478	5731.6151	56970	38363
1584	2015-09-05	09:38:15	5726.4016	5726.5900	5728.9607	57180	37034
1583	2015-09-02	17:48:16	5723.7419	5723.8932	5726.3129	49159	34221
1582	2015-08-31	02:01:18	5721.0842	5721.2815	5723.6255	58997	41203
1581	2015-08-28	10:12:39	5718.4255	5718.6091	5720.9565	56139	43754
1580	2015-08-25	18:24:50	5715.7672	5715.8979	5718.3566	44562	29166
1579	2015-08-23	02:35:20	5713.1079	5713.2680	5715.6545	51128	40265
1578	2015-08-20	10:46:54	5710.4492	5710.6400	5713.0011	57578	38877
1577	2015-08-17	18:58:15	5707.7905	5707.9507	5710.3601	51320	34451
1576	2015-08-15	03:08:05	5705.1306	5705.3039	5707.6761	54158	40626
1575	2015-08-12	06:50:53	5702.2853	nan	5705.0105	nan	42023
1574	2015-08-09	19:26:53	5699.8103	5699.9653	nan	50195	nan
1573	2015-08-07	03:35:30	5697.1497	5697.3139	5699.6959	52000	40647
1572	2015-08-04	11:48:15	5694.4918	5694.6635	5697.0251	53761	43296
1571	2015-08-01	19:59:19	5691.8329	5691.9595	5694.3875	43701	38184
1570	2015-07-30	04:09:03	5689.1730	5689.3502	5691.7155	54903	41390
1569	2015-07-27	12:19:52	5686.5138	5686.6638	5689.0453	49029	43889
1568	2015-07-24	20:30:31	5683.8545	5683.9971	5686.4268	47390	33818
1567	2015-07-22	04:39:47	5681.1943	5681.3454	5683.7311	49232	42802
1566	2015-07-19	12:49:57	5678.5347	5678.7119	5681.0788	55003	41009
1565	2015-07-16	20:58:13	5675.8738	5676.0158	5678.4338	47203	37311
1564	2015-07-14	05:07:09	5673.2133	5673.3922	5675.7383	55243	45791
1563	2015-07-11	13:16:51	5670.5534	5670.6976	5673.0567	47647	50546
1562	2015-07-08	21:28:17	5667.8946	5668.0304	5670.4704	45820	32857
1561	2015-07-06	05:39:17	5665.2356	5665.3909	5667.7652	50247	44206
1560	2015-07-03	13:49:29	5662.5760	5662.7459	5665.1071	53281	43981
1559	2015-06-30	22:00:16	5659.9169	5660.0421	5662.4672	43275	39386
1558	2015-06-28	06:11:54	5657.2583	5657.4223	5659.7873	52133	44302
1557	2015-06-25	21:19:15	5654.8884	nan	5657.0973	nan	51325
1556	2015-06-22	18:05:31	5651.7538	nan	nan	nan	nan
1555	2015-06-20	06:41:58	5649.2791	5649.4687	nan	57535	nan
1554	2015-06-17	14:50:17	5646.6183	5646.7735	5649.1350	50111	47610
1553	2015-06-14	22:59:50	5643.9582	5644.0752	5646.5034	41261	40858
1552	2015-06-12	07:10:49	5641.2992	5641.4725	5643.8304	54020	43885
1551	2015-06-09	15:22:01	5638.6403	5638.7955	5641.1415	50093	50612
1550	2015-06-06	23:33:02	5635.9813	5636.0953	5638.5275	40590	40254
1549	2015-06-04	07:43:22	5633.3218	5633.4691	5635.8546	48299	43561
1548	2015-06-01	15:54:09	5630.6626	5630.7983	5633.1921	45634	44323
1547	2015-05-30	00:05:53	5628.0041	5628.1224	5630.5554	41645	38926
1546	2015-05-27	08:14:46	5625.3436	5625.4780	5627.8795	45434	43030
1545	2015-05-24	16:24:19	5622.6836	5622.8186	5625.2178	45618	43345
1544	2015-05-22	00:32:50	5620.0228	5620.1596	5622.5882	45920	35888
1543	2015-05-19	08:42:22	5617.3628	5617.4896	5619.8791	43574	47583
1542	2015-05-16	16:53:34	5614.7039	5614.8567	5617.2229	49566	46695
1541	2015-05-14	01:04:36	5612.0449	5612.1866	5614.5758	47039	43848
1540	2015-05-11	09:15:37	5609.3858	5609.5054	5611.8992	41842	47950
1539	2015-05-08	17:27:26	5606.7274	5606.8683	5609.2668	46848	41794
1538	2015-05-06	01:37:50	5604.0679	5604.1714	5606.6251	37955	37714
1537	2015-05-03	09:48:30	5601.4087	5601.5542	5603.9317	47855	45780
1536	2015-04-30	17:59:32	5598.7497	5598.9013	5601.2750	49344	45263
1535	2015-04-28	02:09:07	5596.0897	5596.1966	5598.6501	38847	36956
1534	2015-04-25	10:19:20	5593.4301	5593.5918	5595.9659	51509	42917
1533	2015-04-22	18:28:29	5590.7698	5590.9138	5593.2676	47653	51803
1532	2015-04-20	02:39:12	5588.1106	5588.2481	5590.6570	46082	40256
1531	2015-04-17	10:51:05	5585.4521	5585.6015	5587.9188	48765	57835
1530	2015-04-14	19:02:26	5582.7934	5582.9127	5585.2857	41787	52568
1529	2015-04-12	03:14:20	5580.1350	5580.2507	5582.6809	41018	40284
1528	2015-04-09	11:26:12	5577.4765	5577.6104	5580.0119	45311	42766
1527	2015-04-06	19:37:49	5574.8179	5574.9735	5577.2803	50269	58759
1526	2015-04-04	03:48:23	5572.1586	5572.2786	5574.7164	42089	37475
1525	2015-04-01	11:58:45	5569.4991	5569.6360	5572.0275	46145	44672
1524	2015-03-29	20:07:28	5566.8385	5566.9889	5569.3638	49085	45641
1523	2015-03-27	04:17:33	5564.1789	5564.3018	5566.7480	42802	34841
1522	2015-03-24	12:27:49	5561.5193	5561.7210	5563.9861	59938	58185
1521	2015-03-21	20:38:47	5558.8603	5559.0419	5561.3041	55816	62601
1520	2015-03-19	04:50:14	5556.2016	5556.3404	5558.7412	46481	41924
1519	2015-03-16	13:01:46	5553.5429	5553.6752	5556.0105	45038	57894
1518	2015-03-13	21:12:59	5550.8840	5551.0197	5553.3654	45775	55046
1517	2015-03-11	05:23:07	5548.2244	5548.3504	5550.7929	43501	35002
1516	2015-03-08	13:30:31	5545.5629	5545.7384	5548.0801	54608	47882
1515	2015-03-05	21:43:08	5542.9050	5543.0644	5545.3741	51311	57458
1514	2015-03-03	05:51:16	5540.2439	5540.3854	5542.7922	47181	40360
1513	2015-03-01	11:37:33	5538.4844	5538.5825	5540.0442	49847	59796
1512	2015-02-25	22:09:48	5534.9235	5535.1050	5538.3740	56016	54025
1511	2015-02-23	06:19:54	5532.2638	5532.3792	5534.8123	41025	40022
1510	2015-02-20	14:30:48	5529.6047	5529.7845	5532.1019	55615	51830
1509	2015-02-17	22:41:53	5526.9458	5527.0945	5529.4567	48932	48746
1508	2015-02-15	06:52:19	5524.2863	5524.4198	5526.8438	45365	37744
1507	2015-02-12	15:04:31	5521.6281	5521.7777	5524.1627	49184	43122
1506	2015-02-09	23:10:47	5518.9658	5519.1506	5521.5008	56716	43904
1505	2015-02-07	07:17:46	5516.3040	5516.4343	5518.8579	44719	39274
1504	2015-02-04	15:20:33	5513.6393	5513.6379	5516.1711	15128	45319
1503	2015-02-01	21:41:10	5510.9036	5511.0951	nan	58387	nan
1502	2015-01-30	03:57:21	5508.1648	5508.3372	5510.7955	54322	39380
1501	2015-01-27	10:14:54	5505.4270	5505.6487	5508.0626	64254	37897
1500	2015-01-24	16:34:33	5502.6907	5502.8673	5505.2743	55233	49953
1499	2015-01-21	18:42:29	5499.7795	5499.9634	5502.5692	57113	42846
1498	2015-01-18	16:45:59	5496.6986	nan	5499.6821	nan	36835
1497	2015-01-15	23:00:14	5493.9585	5494.1658	nan	61864	nan
1496	2015-01-13	01:07:59	5491.0472	5491.2225	5493.8488	55181	40012
1495	2015-01-10	01:17:45	5488.0540	5488.3110	5490.9553	71635	35561
1494	2015-01-07	01:27:01	5485.0604	5485.2595	5487.9540	60383	37607
1493	2015-01-04	01:37:45	5482.0679	5482.2794	5484.9588	62951	38081
1492	2015-01-01	01:49:17	5479.0759	5479.3002	5481.9721	65433	36448
1491	2014-12-29	02:01:24	5476.0843	5476.2945	5478.9785	62535	36843
1490	2014-12-26	02:14:27	5473.0934	5473.3321	5475.9868	68125	36956
1489	2014-12-23	02:27:31	5470.1024	5470.2765	5473.0203	55022	30508
1488	2014-12-20	02:41:05	5467.1119	5467.3308	5470.0095	64292	35764
1487	2014-12-17	02:53:12	5464.1203	5464.3697	5467.0189	70120	35718
1486	2014-12-14	03:04:39	5461.1282	5461.3698	5464.0339	68737	34052
1485	2014-12-11	03:15:16	5458.1356	5458.3640	5461.0391	66204	34697
1484	2014-12-08	03:25:16	5455.1426	5455.3643	5458.0455	64844	35060
1483	2014-12-05	03:37:50	5452.1513	5452.3829	5455.0433	66734	37433
1482	2014-12-02	03:51:39	5449.1609	5449.3441	5452.0605	57032	35173
1481	2014-11-29	04:05:02	5446.1702	5446.3379	5449.0734	53663	34251
1480	2014-11-26	04:19:08	5443.1800	5443.4151	5446.0808	67403	34810
1479	2014-11-23	04:33:20	5440.1898	5440.4146	5443.0896	65503	35109
1478	2014-11-20	04:46:02	5437.1986	5437.4114	5440.1007	63151	34634
1477	2014-11-17	04:57:08	5434.2063	5434.4649	5437.0975	71823	37797
1476	2014-11-14	05:08:12	5431.2140	5431.3850	5434.1073	54425	37403
1475	2014-11-11	05:19:55	5428.2222	5428.3781	5431.1310	51110	33221
1474	2014-11-08	05:32:12	5425.2307	5425.4066	5428.1463	55453	31233
1473	2014-11-05	05:46:58	5422.2410	5422.4108	5425.1501	54221	32554
1472	2014-11-02	06:01:03	5419.2507	5419.4278	5422.1665	55790	30792
1471	2014-10-30	06:15:14	5416.2606	5416.4924	5419.1592	66935	35387
1470	2014-10-27	06:29:41	5413.2706	5413.4924	5416.1680	64996	35653
1469	2014-10-24	06:43:06	5410.2799	5410.4714	5413.1879	58857	33044
1468	2014-10-21	06:55:51	5407.2888	5407.4871	5410.1891	60353	35269
1467	2014-10-18	07:07:23	5404.2968	5404.5047	5407.2022	62319	34203
1466	2014-10-15	07:19:27	5401.3052	5401.4754	5404.2076	54403	34927
1465	2014-10-12	07:33:39	5398.3150	5398.4716	5401.2264	51459	32143
1464	2014-10-09	07:47:43	5395.3248	5395.4982	5398.2333	55176	32795
1463	2014-10-06	08:04:12	5392.3363	5392.4949	5395.2506	51869	30761
1462	2014-10-03	08:19:13	5389.3467	5389.5269	5392.2488	56752	34454
1461	2014-09-30	08:33:47	5386.3568	5386.5561	5389.2613	60688	33794
1460	2014-09-27	08:48:34	5383.3671	5383.5477	5386.2780	56821	32091
1459	2014-09-24	09:01:08	5380.3758	5380.5449	5383.2862	54333	32653
1458	2014-09-21	09:13:45	5377.3846	5377.5460	5380.2999	52684	31366
1457	2014-09-18	09:26:31	5374.3934	5374.5303	5377.3004	47061	33601
1456	2014-09-15	09:39:57	5371.4027	5371.5360	5374.3092	46193	33557
1455	2014-09-12	09:54:20	5368.4127	5368.6601	5371.3200	70282	33132
1454	2014-09-09	10:10:24	5365.4239	5365.5840	5368.3386	52451	30818
1453	2014-09-06	10:23:48	5362.4332	5362.5697	5365.3384	46975	33949
1452	2014-09-03	10:39:57	5359.4444	5359.6256	5362.3550	57113	31958
1451	2014-08-31	10:54:57	5356.4548	5356.6093	5359.3620	51255	33081
1450	2014-08-28	11:08:21	5353.4641	5353.6185	5356.3659	51275	34834
1449	2014-08-25	11:20:57	5350.4729	5350.6250	5353.3864	50767	31813
1448	2014-08-22	11:33:05	5347.4813	5347.6435	5350.3838	52987	34954
1447	2014-08-19	11:47:04	5344.4910	5344.6220	5347.3936	45794	34665
1446	2014-08-16	12:01:12	5341.5008	5341.4606	5344.4150	21448	31333
1445	2014-08-13	12:17:03	5338.5118	5338.6793	5341.4087	54145	35843
1444	2014-08-10	12:33:06	5335.5230	5335.6669	5338.4260	48833	34150
1443	2014-08-07	12:49:38	5332.5345	5332.6973	5335.4316	53167	35580
1442	2014-08-04	13:03:54	5329.5444	5329.6754	5332.4454	45764	34963
1441	2014-08-01	13:16:50	5326.5534	5326.6988	5329.4669	49174	31766
1440	2014-07-29	13:29:51	5323.5624	5323.7023	5326.4728	47874	32748
1439	2014-07-26	13:42:02	5320.5709	5320.6879	5323.4779	42400	33839
1438	2014-07-23	13:54:48	5317.5797	5317.7144	5320.4954	46660	31194
1437	2014-07-20	14:08:17	5314.5891	5314.7318	5317.4935	48456	34199
1436	2014-07-17	14:23:36	5311.5997	5311.7476	5314.4975	49672	35703
1435	2014-07-14	14:38:10	5308.6098	5308.7609	5311.5065	50440	36171
