Rev	Rev. Start	Perigee	Perig.IJD	Exit.IJD	Entrance.IJD	Exit	Entrance
2062	2019-02-27	11:15:58	6997.4694	6997.5634	6999.8705	37654	74038
2061	2019-02-24	19:25:52	6994.8096	6994.9210	6997.3456	42273	45586
2060	2019-02-22	03:38:37	6992.1518	6992.2291	6994.7084	32753	39723
2059	2019-02-19	11:50:41	6989.4935	6989.5946	6992.0179	39443	48100
2058	2019-02-16	20:02:40	6986.8352	6986.9428	6989.3631	41259	47318
2057	2019-02-14	04:14:27	6984.1767	6984.2630	6986.7287	35459	41126
2056	2019-02-11	12:25:12	6981.5175	6981.6375	6983.9624	44656	65963
2055	2019-02-08	20:34:26	6978.8572	6978.9747	6981.3102	43973	64561
2054	2019-02-06	04:45:15	6976.1981	6976.2857	6978.7557	35627	39609
2053	2019-02-03	12:57:00	6973.5396	6973.6514	6976.0431	42312	53192
2052	2019-01-31	21:09:48	6970.8818	6970.9876	6973.2852	40810	73565
2051	2019-01-29	05:21:22	6968.2232	6968.3161	6970.7558	37149	46072
2050	2019-01-26	13:33:57	6965.5652	6965.6892	6968.0701	45526	52751
2049	2019-01-23	21:46:25	6962.9072	6963.0183	6965.3377	42114	68497
2048	2019-01-21	05:59:31	6960.2497	6960.3349	6962.8108	35032	38250
2047	2019-01-18	14:10:59	6957.5910	6957.7431	6960.0846	52500	55440
2046	2019-01-15	22:22:09	6954.9321	6955.0451	6957.4705	42810	44669
2045	2019-01-13	06:32:51	6952.2728	6952.3624	6954.7813	36362	52132
2044	2019-01-10	14:44:02	6949.6139	6949.7345	6952.1246	44752	51485
2043	2019-01-07	22:53:31	6946.9538	6947.0809	6949.4604	46244	52701
2042	2019-01-05	07:08:59	6944.2979	6944.3786	6946.8354	33795	44184
2041	2019-01-02	15:19:45	6941.6387	6941.7696	6944.1412	47289	53434
2040	2018-12-30	23:31:36	6938.9803	6939.1210	6941.5030	49691	48534
2039	2018-12-28	11:35:33	6936.4830	nan	6938.8002	nan	58793
2038	2018-12-25	15:57:08	6933.6647	6933.7754	nan	42111	nan
2037	2018-12-23	00:08:12	6931.0057	6931.1444	6933.5354	49183	46889
2036	2018-12-20	08:19:38	6928.3470	6928.4333	6930.8987	35469	41236
2035	2018-12-17	16:29:03	6925.6868	6925.8265	6928.1674	49452	58616
2034	2018-12-15	00:39:45	6923.0276	6923.1637	6925.5348	48574	52484
2033	2018-12-12	08:51:30	6920.3691	6920.4661	6922.9165	38396	42223
2032	2018-12-09	17:02:48	6917.7103	6917.8460	nan	48481	nan
2031	2018-12-07	01:14:29	6915.0517	6915.2236	6917.5502	56938	54266
2030	2018-12-04	09:25:44	6912.3929	6912.4891	6914.9453	38158	40929
2029	2018-12-01	17:37:01	6909.7341	6909.8329	6912.2023	38803	60948
2028	2018-11-29	01:48:52	6907.0756	6907.1887	6909.6209	42685	42734
2027	2018-11-26	09:59:56	6904.4166	6904.5063	6906.9855	36267	36389
2026	2018-11-23	18:09:43	6901.7568	6901.8752	6904.2846	44086	47581
2025	2018-11-21	02:19:19	6899.0968	6899.2537	6901.6456	53570	42243
2024	2018-11-18	10:28:25	6896.4364	6896.5395	6899.0067	39909	36348
2023	2018-11-15	18:38:54	6893.7770	6893.9586	6896.2909	58928	50844
2022	2018-11-13	02:49:59	6891.1181	6891.2779	6893.6513	54138	45919
2021	2018-11-10	11:00:06	6888.4584	6888.5598	6891.0146	39414	39980
2020	2018-11-07	15:01:18	6885.6259	nan	6888.3234	nan	48273
2019	2018-11-05	03:21:27	6883.1399	6883.3247	nan	59532	nan
2018	2018-11-02	11:33:29	6880.4816	6880.5660	6883.0377	34649	39719
2017	2018-10-30	19:42:12	6877.8210	6877.9314	6880.3709	41762	41925
2016	2018-10-28	03:52:57	6875.1618	6875.2829	6877.7177	44691	40046
2015	2018-10-25	12:01:35	6872.5011	6872.5919	6875.0738	36466	35665
2014	2018-10-22	20:10:41	6869.8408	6869.9588	6872.3806	43804	44485
2013	2018-10-20	04:21:19	6867.1815	6867.3349	6869.7387	52476	39564
2012	2018-10-17	11:28:55	6864.4784	6864.5965	6867.0823	43158	38713
2011	2018-10-14	20:41:51	6861.8624	6861.9911	6864.3150	46515	54159
2010	2018-10-12	04:52:22	6859.2030	6859.4346	6861.7534	68912	41297
2009	2018-10-09	13:02:03	6856.5431	6856.6955	6859.1049	52134	38318
2008	2018-10-06	21:13:29	6853.8844	6854.0242	6856.4004	49115	49811
2007	2018-10-04	05:24:37	6851.2254	6851.3688	6853.7700	50000	42703
2006	2018-10-01	13:33:49	6848.5652	6848.7207	6851.1356	52843	35999
2005	2018-09-28	21:42:52	6845.9048	6846.0851	6848.4580	58338	40823
2004	2018-09-26	05:52:29	6843.2448	6843.3958	6845.7976	51781	40839
2003	2018-09-23	14:02:38	6840.5852	6840.7094	6843.1578	45241	35152
2002	2018-09-20	22:12:33	6837.9254	6838.0799	6840.4784	52447	40542
2001	2018-09-18	06:23:14	6835.2661	6835.4749	6837.8033	64091	44596
2000	2018-09-15	14:34:44	6832.6075	6832.7283	6835.1778	44323	35630
1999	2018-09-12	22:45:11	6829.9480	6830.1391	6832.4703	60459	48279
1998	2018-09-10	06:56:29	6827.2892	6827.4699	6829.8334	58177	42678
1997	2018-09-07	10:52:54	6824.4534	nan	6827.1903	nan	38479
1996	2018-09-04	23:18:31	6821.9712	6822.1445	nan	56623	nan
1995	2018-09-02	07:27:57	6819.3111	6819.4621	6821.8755	51576	37609
1994	2018-08-30	13:05:06	6816.5452	6816.8836	6819.2231	68733	35452
1993	2018-08-27	23:47:53	6813.9916	6814.2270	6816.5253	69273	45438
1992	2018-08-25	07:58:35	6811.3324	6811.4837	6813.8730	51626	43536
1991	2018-08-22	16:09:25	6808.6732	6808.7839	6811.2434	41526	35550
1990	2018-08-20	00:21:08	6806.0147	6806.2031	6808.5508	59881	44580
1989	2018-08-17	08:31:48	6803.3554	6803.4888	6805.9175	47305	37845
1988	2018-08-14	16:42:33	6800.6962	6800.8039	6803.2803	40655	31625
1987	2018-08-12	00:54:48	6798.0381	6798.1720	6800.5714	47440	45205
1986	2018-08-09	09:05:21	6795.3787	6795.5117	6797.9312	47124	40464
1985	2018-08-06	17:16:20	6792.7197	6792.8177	6795.2906	38203	35493
1984	2018-08-04	01:24:32	6790.0587	6790.1942	6792.6016	47863	43443
1983	2018-08-01	09:34:10	6787.3987	6787.5289	6789.9465	46422	41873
1982	2018-07-29	17:44:06	6784.7390	6784.8340	6787.3068	37195	36495
1981	2018-07-27	01:56:19	6782.0808	6782.2339	6784.6295	51946	41265
1980	2018-07-24	10:07:37	6779.4220	6779.5540	6781.9611	46887	43822
1979	2018-07-21	18:19:29	6776.7635	6776.8643	6779.3440	38816	32504
1978	2018-07-19	02:31:44	6774.1054	6774.2369	6776.6601	46800	39623
1977	2018-07-16	10:43:47	6771.4471	6771.5565	6774.0015	41089	39683
1976	2018-07-13	18:56:32	6768.7893	6768.8861	6771.3754	37833	30671
1975	2018-07-11	03:07:56	6766.1305	6766.2466	6768.6712	42928	43398
1974	2018-07-08	11:17:19	6763.4704	6763.6008	6766.0249	46511	40214
1973	2018-07-05	19:26:11	6760.8099	6760.9199	6763.3796	41278	36192
1972	2018-07-03	03:39:58	6758.1528	6758.3010	6760.6979	50861	41849
1971	2018-06-30	11:52:05	6755.4945	6755.6241	6758.0245	46387	45899
1970	2018-06-27	20:03:31	6752.8358	6752.9360	6755.3978	38733	37636
1969	2018-06-25	04:15:18	6750.1773	6750.3202	6752.7102	49569	45275
1968	2018-06-22	12:27:06	6747.5188	6747.6487	6750.0522	46393	45169
1967	2018-06-19	20:39:08	6744.8605	6744.9628	6747.4189	39258	38557
1966	2018-06-17	04:51:47	6742.2026	6742.3203	6744.7366	43365	44853
1965	2018-06-14	13:02:27	6739.5434	6739.6568	6742.0876	42206	42534
1964	2018-06-11	21:12:28	6736.8837	6736.9774	6739.4567	36921	34974
1963	2018-06-09	05:23:17	6734.2245	6734.3585	6736.7646	47457	43693
1962	2018-06-06	13:33:55	6731.5652	6731.7008	6734.0985	47755	45331
1961	2018-06-03	21:45:13	6728.9064	6729.0072	6731.4537	38832	41628
1960	2018-06-01	05:56:53	6726.2478	6726.3641	6728.7750	42887	46687
1959	2018-05-29	14:08:20	6723.5891	6723.7074	6726.1339	43434	42266
1958	2018-05-26	22:19:54	6720.9305	6721.0239	6723.4990	36873	35846
1957	2018-05-24	06:31:04	6718.2716	6718.3958	6720.8014	44850	46010
1956	2018-05-21	14:43:09	6715.6133	6715.7403	6718.1581	45586	42137
1955	2018-05-18	18:43:43	6712.7804	nan	6715.5127	nan	38679
1954	2018-05-16	07:03:53	6710.2944	6710.4162	nan	44352	nan
1953	2018-05-13	15:14:52	6707.6353	6707.7516	6710.1742	42886	43770
1952	2018-05-10	23:21:31	6704.9733	6705.0833	6707.5280	41077	40443
1951	2018-05-08	07:35:09	6702.3161	6702.4669	6704.8333	51180	48715
1950	2018-05-05	15:46:35	6699.6574	6699.7506	6702.1676	36667	50661
1949	2018-05-02	23:56:41	6696.9977	6697.0937	6699.5662	37292	36035
1948	2018-04-30	08:09:07	6694.3397	6694.4543	6696.8688	42374	45998
1947	2018-04-27	16:19:47	6691.6804	6691.7982	6694.2216	43015	43114
1946	2018-04-25	00:31:46	6689.0221	6689.1075	6691.5805	34408	38484
