REV_RANGE ENTRY/SAFE EXIT/SAFE
2049-2059 49257/61526 40857/53277
2060-2070 47245/59014 41857/54581
2071-2081 44510/55597 44674/58254
2082-2092 41785/52194 48498/63241
2093-2103 39804/49719 52230/68107
2104-2114 39097/48837 54795/71452
2115-2125 39856/49784 55456/72315
2126-2136 41876/52308 54024/70446
2137-2147 44615/55728 50909/66385
2148-2158 47336/59128 47008/61298
2159-2169 49309/61592 43443/56649
2170-2180 50003/62459 41239/53775
