REV_RANGE ENTRY/SAFE EXIT/SAFE
1891-1901 46011/57821 59179/76290
1902-1912 48377/60794 55274/71256
1913-1923 49547/62265 50776/65458
1924-1934 49203/61832 46884/60441
1935-1945 47438/59614 44637/57544
1946-1956 44732/56214 44634/57540
1957-1967 41822/52557 46876/60430
1968-1978 39499/49637 50765/65443
1979-1989 38395/48250 55263/71242
1990-2000 38810/48771 59170/76279
2001-2011 40631/51060 61445/79212
2012-2022 43364/54494 61481/79258
