REV_RANGE ENTRY/SAFE EXIT/SAFE
1944-1954 43173/54441 48530/63998
1955-1965 40230/50730 53608/70693
1966-1976 38514/48567 58339/76932
1977-1987 38488/48534 61306/80845
1988-1998 40158/50640 61621/81261
1999-2009 43075/54318 59190/78054
2010-2020 46452/58576 54740/72186
2021-2031 49380/62268 49604/65414
2032-2042 51069/64398 45322/59767
2043-2053 51065/64393 43175/56935
2054-2064 49368/62254 43807/57768
2065-2075 46436/58557 47028/62016
