REV_RANGE ENTRY/SAFE EXIT/SAFE
1860-1870 41206/52153 60326/76007
1871-1881 44108/55825 61333/77275
1882-1892 47108/59622 59837/75391
1893-1903 49275/62366 56279/70907
1904-1914 49939/63205 51702/65141
1915-1925 48892/61880 47451/59785
1926-1936 46460/58802 44774/56412
1937-1947 43397/54925 44456/56012
1948-1958 40652/51452 46592/58703
1959-1969 39078/49459 50554/63694
1970-1980 39162/49566 55178/69521
1981-1991 40878/51738 59108/74472
