REV_RANGE ENTRY/SAFE EXIT/SAFE
2003-2013 44147/56963 57331/75660
2014-2024 47285/61012 54787/72303
2025-2035 49751/64194 50963/67256
2036-2046 50883/65654 46946/61954
2047-2057 50377/65002 43877/57905
2058-2068 48369/62411 42631/56260
2069-2079 45399/58578 43560/57486
2080-2090 42263/54532 46401/61236
2091-2101 39804/51360 50347/66442
2102-2112 38682/49912 54274/71625
2113-2123 39199/50579 57067/75311
2124-2134 41216/53181 57931/76451
