REV_RANGE ENTRY/SAFE EXIT/SAFE
1941-1951 44529/55068 49389/62360
1952-1962 41997/51936 55071/69534
1963-1973 40480/50060 60439/76312
1974-1984 40392/49951 63812/80571
1985-1995 41756/51639 64135/80978
1996-2006 44202/54663 61307/77407
2007-2017 47063/58201 56212/70975
2018-2028 49559/61287 50446/63695
2029-2039 51010/63082 45813/57845
2040-2050 51021/63095 43763/55256
2051-2061 49588/61324 44937/56738
2062-2072 47103/58251 48968/61828
