REV_RANGE ENTRY/SAFE EXIT/SAFE
1852-1862 37775/47737 56760/72014
1863-1873 39123/49440 60028/76159
1874-1884 41783/52803 61381/77876
1885-1895 45017/56889 60457/76704
1896-1906 47924/60563 57504/72957
1907-1917 49697/62803 53315/67642
1918-1928 49841/62985 49016/62188
1929-1939 48317/61059 45763/58060
1940-1950 45549/57561 44429/56368
1951-1961 42306/53463 45373/57566
1962-1972 39491/49906 48341/61332
1973-1983 37887/47879 52536/66654
