REV_RANGE ENTRY/SAFE EXIT/SAFE
2080-2090 39862/50147 45138/59808
2091-2101 38812/48825 50021/66278
2102-2112 39524/49722 53904/71424
2113-2123 41778/52557 55604/73675
2124-2134 44872/56449 54601/72347
2135-2145 47844/60187 51202/67843
2146-2156 49768/62608 46443/61537
2157-2167 50047/62959 41775/55353
2168-2178 48594/61131 38622/51175
2179-2189 45860/57691 37946/50278
2190-2200 42696/53712 39951/52936
2201-2211 40087/50430 44028/58337
