REV_RANGE ENTRY/SAFE EXIT/SAFE
1928-1938 50313/63797 43743/56893
1939-1949 48816/61898 45036/58575
1950-1960 46249/58644 48683/63318
1961-1971 43247/54837 53568/69672
1972-1982 40550/51418 58200/75696
1983-1993 38826/49231 61162/79548
1994-2004 38499/48816 61550/80053
2005-2015 39650/50276 59244/77054
2016-2026 41995/53250 54950/71469
2027-2037 44955/57003 49980/65005
2038-2048 47799/60610 45852/59636
2049-2059 49825/63178 43828/57004
