REV_RANGE ENTRY/SAFE EXIT/SAFE
2087-2097 39124/49653 48571/65055
2098-2108 38917/49391 52566/70406
2109-2119 40389/51259 54407/72871
2120-2130 43093/54691 53470/71616
2131-2141 46208/58643 50073/67066
2142-2152 48786/61916 45366/60761
2153-2163 50047/63515 40943/54838
2164-2174 49606/62956 38304/51303
2175-2185 47597/60407 38340/51352
2186-2196 44631/56643 41042/54970
2197-2207 41609/52807 45492/60931
2208-2218 39447/50064 50184/67215
