REV_RANGE ENTRY/SAFE EXIT/SAFE
1942-1952 44399/55063 50046/63486
1953-1963 42640/52881 56239/71343
1964-1974 41878/51936 61712/78286
1975-1985 42328/52494 64754/82145
1986-1996 43863/54398 64415/81715
1997-2007 46052/57113 60800/77129
2008-2018 48281/59877 55039/69821
2019-2029 49923/61914 48933/62075
2030-2040 50518/62651 44391/56313
2041-2051 49899/61883 42832/54335
2052-2062 48239/59824 44744/56760
2063-2073 46004/57053 49528/62830
