REV_RANGE ENTRY/SAFE EXIT/SAFE
2037-2047 50813/63703 43121/56194
2048-2058 50239/62983 42641/55568
2059-2069 48218/60450 44101/57470
2070-2080 45292/56781 47048/61311
2081-2091 42245/52962 50570/65900
2092-2102 39895/50015 53574/69815
2103-2113 38871/48731 55131/71843
2114-2124 39448/49455 54757/71356
2125-2135 41471/51991 52568/68504
2136-2146 44399/55661 49243/64171
2147-2157 47445/59480 45812/59700
2158-2168 49793/62424 43339/56476
